week_start,region_id,region_name,metric_name,lakehouse_value,bi_report_value,absolute_delta,severity_score,suspected_driver,recommended_audit
2026-01-05,REG02,Central Field Region 2,completed_orders,3176,3167.01,8.99,20.7,technician reassignment,Rebuild technician ownership bridge for reassigned work orders
2026-02-16,REG09,Mountain Field Region 9,completed_orders,6633,6623.21,9.79,20.6,missing cancellation filter,Validate cancellation flag logic against appointment status history
2026-02-09,REG11,Southeast Field Region 11,completed_orders,5648,5638.44,9.56,20.3,missing cancellation filter,Validate cancellation flag logic against appointment status history
2026-02-16,REG01,Mountain Field Region 1,completed_orders,6191,6182.52,8.48,19.6,late arriving work order status,Recompute weekly gold table after late status watermark and compare closed orders
2026-02-23,REG03,Southeast Field Region 3,completed_orders,4112,4103.3,8.7,19.6,duplicate appointment event,Deduplicate appointment events before metric aggregation
2026-02-16,REG03,Southeast Field Region 3,completed_orders,4010,4001.48,8.52,19.4,late arriving work order status,Recompute weekly gold table after late status watermark and compare closed orders
2026-02-09,REG09,Mountain Field Region 9,completed_orders,6299,6290.17,8.83,19.4,late arriving work order status,Recompute weekly gold table after late status watermark and compare closed orders
2026-04-13,REG03,Southeast Field Region 3,completed_orders,3837,3828.7,8.3,19.1,late arriving work order status,Recompute weekly gold table after late status watermark and compare closed orders
2026-03-23,REG10,Central Field Region 10,completed_orders,3547,3538.97,8.03,19.0,missing cancellation filter,Validate cancellation flag logic against appointment status history
2026-04-27,REG10,Central Field Region 10,completed_orders,3121,3113.05,7.95,18.9,technician reassignment,Rebuild technician ownership bridge for reassigned work orders
2026-05-04,REG06,Central Field Region 6,completed_orders,4390,4396.73,6.73,18.8,duplicate appointment event,Deduplicate appointment events before metric aggregation
2026-03-16,REG07,Southeast Field Region 7,completed_orders,3782,3791.39,9.39,18.8,late arriving work order status,Recompute weekly gold table after late status watermark and compare closed orders
2026-05-04,REG12,Atlantic Field Region 12,completed_orders,3622,3613.7,8.3,18.8,missing cancellation filter,Validate cancellation flag logic against appointment status history
2026-01-19,REG01,Mountain Field Region 1,completed_orders,6306,6298.21,7.79,18.7,duplicate appointment event,Deduplicate appointment events before metric aggregation
2026-02-02,REG03,Southeast Field Region 3,completed_orders,4061,4052.97,8.03,18.7,missing cancellation filter,Validate cancellation flag logic against appointment status history
2026-03-09,REG03,Southeast Field Region 3,completed_orders,3930,3922.06,7.94,18.6,missing cancellation filter,Validate cancellation flag logic against appointment status history
2026-01-26,REG04,Atlantic Field Region 4,completed_orders,3644,3651.47,7.47,18.6,missing cancellation filter,Validate cancellation flag logic against appointment status history
2026-03-23,REG06,Central Field Region 6,completed_orders,4203,4209.51,6.51,18.5,duplicate appointment event,Deduplicate appointment events before metric aggregation
2026-04-13,REG04,Atlantic Field Region 4,completed_orders,3828,3820.7,7.3,18.3,technician reassignment,Rebuild technician ownership bridge for reassigned work orders
2026-02-23,REG10,Central Field Region 10,completed_orders,3651,3658.27,7.27,18.1,missing cancellation filter,Validate cancellation flag logic against appointment status history
2026-04-13,REG01,Mountain Field Region 1,completed_orders,6464,6456.76,7.24,18.0,technician reassignment,Rebuild technician ownership bridge for reassigned work orders
2026-04-20,REG06,Central Field Region 6,completed_orders,4346,4339.85,6.15,18.0,timezone boundary,Check service date conversion between local appointment time and UTC event time
