week_start,region_id,metric_name,calculation_method,unit,lakehouse_value,bi_report_value,ops_platform_value,absolute_delta,within_tolerance,suspected_driver
2026-01-05,REG01,completed_orders,sum,orders,6684,6686.87,6686.42,2.87,yes,timezone boundary
2026-01-05,REG01,first_visit_fix_rate,weighted average,percent,67.8,66.49,66.66,1.3,no,timezone boundary
2026-01-05,REG01,repeat_visit_rate,weighted average,percent,13.37,12.58,13.23,0.79,no,timezone boundary
2026-01-05,REG01,on_time_arrival_rate,weighted average,percent,86.98,87.4,87.3,0.42,yes,duplicate appointment event
2026-01-05,REG01,technician_utilization,average,percent,90.86,90.84,91.04,0.02,yes,duplicate appointment event
2026-01-05,REG01,cost_per_work_order,weighted average,dollars,139.53,141.92,141.52,2.39,no,late arriving work order status
2026-01-12,REG01,completed_orders,sum,orders,6536,6538.9,6536.6,2.9,yes,technician reassignment
2026-01-12,REG01,first_visit_fix_rate,weighted average,percent,68.32,66.76,68.0,1.56,no,timezone boundary
2026-01-12,REG01,repeat_visit_rate,weighted average,percent,14.38,15.03,14.77,0.65,yes,technician reassignment
2026-01-12,REG01,on_time_arrival_rate,weighted average,percent,85.38,86.04,85.75,0.66,yes,late arriving work order status
2026-01-12,REG01,technician_utilization,average,percent,91.17,90.47,91.23,0.71,yes,duplicate appointment event
2026-01-12,REG01,cost_per_work_order,weighted average,dollars,139.76,138.64,139.57,1.12,yes,duplicate appointment event
2026-01-19,REG01,completed_orders,sum,orders,6306,6298.21,6300.95,7.79,no,duplicate appointment event
2026-01-19,REG01,first_visit_fix_rate,weighted average,percent,65.83,64.34,64.82,1.49,no,duplicate appointment event
2026-01-19,REG01,repeat_visit_rate,weighted average,percent,12.97,13.48,13.19,0.51,yes,late arriving work order status
2026-01-19,REG01,on_time_arrival_rate,weighted average,percent,87.02,86.01,86.36,1.01,no,technician reassignment
2026-01-19,REG01,technician_utilization,average,percent,89.31,87.9,88.33,1.41,no,duplicate appointment event
2026-01-19,REG01,cost_per_work_order,weighted average,dollars,134.31,131.55,132.97,2.77,no,missing cancellation filter
2026-01-26,REG01,completed_orders,sum,orders,6359,6363.92,6362.21,4.92,no,timezone boundary
2026-01-26,REG01,first_visit_fix_rate,weighted average,percent,68.63,69.55,69.08,0.92,no,duplicate appointment event
2026-01-26,REG01,repeat_visit_rate,weighted average,percent,13.71,13.69,13.62,0.02,yes,technician reassignment
2026-01-26,REG01,on_time_arrival_rate,weighted average,percent,84.55,84.17,84.27,0.38,yes,timezone boundary
2026-01-26,REG01,technician_utilization,average,percent,89.9,89.89,89.92,0.01,yes,timezone boundary
2026-01-26,REG01,cost_per_work_order,weighted average,dollars,136.05,137.8,136.78,1.74,no,late arriving work order status
2026-02-02,REG01,completed_orders,sum,orders,5940,5946.59,5944.57,6.59,no,technician reassignment
2026-02-02,REG01,first_visit_fix_rate,weighted average,percent,66.99,67.01,67.05,0.02,yes,late arriving work order status
2026-02-02,REG01,repeat_visit_rate,weighted average,percent,14.44,12.97,13.62,1.47,no,late arriving work order status
2026-02-02,REG01,on_time_arrival_rate,weighted average,percent,87.25,88.03,87.78,0.78,no,missing cancellation filter
